id,city,address,area,year,floors,type,passability,revenue,quantity,gain
4919,Владивосток,"ул. Аллилуева, д. 8","5047,8",1984,12,0,69235,4808215,1,"4879,82186614173"
4918,Владивосток,"ул. Аллилуева, д. 6","3704,4",1984,1,0,45012,"3520881,5",0,"2625,64219371515"
4917,Владивосток,"ул. Аллилуева, д. 5","9030,66",1982,16,0,88459,8453272,1,"12369,6104575281"
4916,Владивосток,"ул. Аллилуева, д. 3","9003,9",1982,16,0,84444,"8213185,5",1,"11876,2856264909"
4915,Владивосток,"ул. Аллилуева, д. 2","7626,1",1993,9,3,122688,"7280828,5",1,"9960,49752723783"
4914,Владивосток,"ул. Аллилуева, д. 14","7192,2",2005,10,0,50463,5343373,1,"5979,45358191165"
4913,Владивосток,"ул. Аллилуева, д. 12а","8713,9",2008,11,0,99489,"8278005,5",1,"12009,4764370856"
4912,Владивосток,"ул. Аллилуева, д. 10","5186,7",1983,12,0,71797,4941388,1,"5153,46302349007"
4911,Владивосток,"ул. Алеутская, д. 61","2643,3",1960,6,0,39020,"2519940,5",0,"1879,20613132014"
4910,Владивосток,"ул. Алеутская, д. 57 б","1880,2",1965,4,0,26921,"1790693,875",0,"1335,38189065076"
4909,Владивосток,"ул. Алеутская, д. 57 а","1700,5",1965,4,0,32971,"1629716,5",0,"1215,33553634048"
7880,Владивосток,"ул. Алеутская, д. 57","5460,5",1975,5,0,67937,5193134,1,"5670,74555671992"
4908,Владивосток,"ул. Алеутская, д. 51","3315,4",1959,5,0,80859,"3199894,75",0,"2386,27135592254"
4907,Владивосток,"ул. Алеутская, д. 43",100,1960,1,0,12950,"106688,8671875",0,"79,5615505057958"
4906,Владивосток,"ул. Алеутская, д. 41","1735,8",1958,4,0,33471,"1663378,375",0,"1240,43835201876"
7879,Владивосток,"ул. Алеутская, д. 4","5320,34",1974,5,0,82130,5079022,1,"5436,27055242224"
7878,Владивосток,"ул. Алеутская, д. 28","5533,1",1974,5,0,110476,5312512,1,"5916,04103014119"
4905,Владивосток,"ул. Алеутская, д. 26, стр. 2","231,1",1917,1,0,8129,"223637,765625",0,"166,774358504591"
4904,Владивосток,"ул. Алеутская, д. 24, стр. 2","135,9",1918,1,0,12692,"139996,90625",0,"104,40049857957"
7877,Владивосток,"ул. Алеутская, д. 2",5550,1974,5,0,55365,"5244079,5",1,"5775,42732841305"
4903,Владивосток,"ул. Алеутская, д. 19","6019,97",1938,7,0,55645,5443031,1,"6184,22880255714"
4902,Владивосток,"ул. Алеутская, д. 17а","3337,5",1940,4,0,83815,"3224161,75",0,"2404,36809082114"
4901,Владивосток,"ул. Алеутская, д. 17","4958,6",1940,6,2,101595,4759443,1,"4779,606157806"
7876,Владивосток,"ул. Алеутская, д. 15","9733,59",1971,9,0,69871,7402945,1,"10211,4200144637"
7875,Владивосток,"ул. Алеутская, д. 14","12473,9",1984,9,0,56567,5932438,1,"7189,85229901951"
4900,Владивосток,"ул. Алеутская, д. 12а",2519,1936,5,0,62282,"2431637,25",0,"1813,355366663"
7874,Владивосток,"ул. Алеутская, д. 11",34000,2011,21,0,156880,16467766,1,"28837,6288525586"
4899,Владивосток,"ул. Алеутская, д. 10","456,79",1918,2,0,23697,"453799,625",0,"338,413957667168"
4898,Владивосток,"ул. Александровича, д. 80","169,3",1917,2,0,8643,"166384,046875",0,"124,078295119015"
4897,Владивосток,"ул. Александровича, д. 52","4793,2",1993,5,0,97087,4603434,1,"4459,0420545962"
4896,Владивосток,"ул. Александровича, д. 50а","2476,6",1998,5,0,36488,"2360770,25",0,"1760,50741215445"
4895,Владивосток,"ул. Александровича, д. 50","5045,3",1992,5,0,77007,4815263,1,"4894,30395242792"
4894,Владивосток,"ул. Александровича, д. 48А",2863,2000,5,0,30363,2715228,0,"2024,83872358579"
4893,Владивосток,"ул. Александровича, д. 48","3465,2",1975,5,0,59104,"3313898,5",0,"2471,28786563517"
4892,Владивосток,"ул. Аксаковская, д. 1","22656,8",2009,18,0,91137,9526939,1,"14575,7594553485"
4891,Владивосток,"ул. Адмирала Юмашева, д. 8в","2293,1",1961,5,0,57915,"2214810,25",0,"1651,660029874"
4890,Владивосток,"ул. Адмирала Юмашева, д. 8б","4198,1",1962,5,0,78608,"4023809,25",1,"3268,04097015906"
4889,Владивосток,"ул. Адмирала Юмашева, д. 8а","2285,8",1961,5,0,70795,"2223533,75",0,"1658,1654432703"
4888,Владивосток,"ул. Адмирала Юмашева, д. 8","1728,46",1961,5,0,47713,"1673709,875",0,"1248,1429062119"
