id,city-address,type,passability,area,Average of money,Average of profit,Average of our_clients,Count of Index
6064,"г. Хабаровск, ул. Кима, д. 50",0,74630,5897.1,,,,
6065,"г. Хабаровск, ул. Кирова, д. 11",0,38669,993.3,,,,
6066,"г. Хабаровск, ул. Кирова, д. 12",0,12593,241.2,,,,
6067,"г. Хабаровск, ул. Кирова, д. 13",0,41025,1009.1,,,,
6068,"г. Хабаровск, ул. Кирова, д. 14",0,33169,604.2,,,,
6069,"г. Хабаровск, ул. Кирова, д. 16",0,19452,635.8,,,,
6070,"г. Хабаровск, ул. Кирова, д. 17",0,20320,203.6,,,,
6071,"г. Хабаровск, ул. Кирова, д. 19",0,31271,658,,,,
6072,"г. Хабаровск, ул. Кирова, д. 19А",0,23533,2134.6,,,,
6073,"г. Хабаровск, ул. Кирова, д. 2 А",0,52068,2388.4,,,,
6074,"г. Хабаровск, ул. Кирова, д. 2 Б",2,35969,2385.7,,,,
6075,"г. Хабаровск, ул. Кирова, д. 21",0,32273,1386.8,,,,
6076,"г. Хабаровск, ул. Кирова, д. 23",0,66893,2038.1,,,,
6077,"г. Хабаровск, ул. Кирова, д. 3 А",0,91442,6213.2,,,,
6078,"г. Хабаровск, ул. Кирова, д. 4",0,35767,3986.87,,,,
6079,"г. Хабаровск, ул. Кирова, д. 5",0,78829,6498.46,,,,
6080,"г. Хабаровск, ул. Кирова, д. 6",4,59522,5473.4,,,,
6081,"г. Хабаровск, ул. Кирова, д. 9",0,34181,625.7,,,,
6082,"г. Хабаровск, ул. Кирпичная, д. 15",0,4858,46.4,,,,
6083,"г. Хабаровск, ул. Кирпичная, д. 36",0,75517,3716.9,,,,
6084,"г. Хабаровск, ул. Кирпичная, д. 36А",0,72180,6744.1,,,,
6085,"г. Хабаровск, ул. Кирпичная, д. 36Б",0,107736,7308.6,,,,
6086,"г. Хабаровск, ул. Клубная, д. 10",0,83059,4139.3,,,,
6087,"г. Хабаровск, ул. Клубная, д. 12",0,59644,4410.8,,,,
6088,"г. Хабаровск, ул. Клубная, д. 14",0,95183,4143.9,,,,
6089,"г. Хабаровск, ул. Клубная, д. 15",2,84798,4224.1,,,,
6090,"г. Хабаровск, ул. Клубная, д. 20",0,67171,9706,,,,
